TIPO DE RESÖDUO;jan/14;fev/14;mar/14;abr/14;mai/14;jun/14;jul/14;ago/14;set/14;out/14;nov/14;dez/14;TOTAL 2014
ALIM VENCIDOS;0;7,44;0;0;0;0;0;0,05;0;0;1,83;1,38;10,7
ANIMAIS;9,83;7,07;11,43;6,66;5,06;5,59;8,59;7,23;6,67;9,85;7,78;7,91;93,67
DIVERSOS;30114,6;26562,65;30160,02;28248,47;30649,29;25282,6;27395,86;28075,56;28397,32;26913,69;25394,17;26825,66;334019,89
DOMICILIAR;333611,67;297097,79;317402,41;310698,38;312264,8;294321,78;307274,45;306706,56;325025,35;325737,07;308981,34;363317,13;3802438,73
ENTULHO APREENDIDO;;;;;;;;;;;;;3,96
ENTULHO MANUAL;4027,01;3600,53;4314,61;4201,72;4644,95;3790,78;4376,38;4703,55;4382,3;4258,09;3961,53;4058,32;50319,77
ENTULHO MECANIZADO;76053,84;71028,51;70843,3;68193,26;71294,88;57912,91;65747,35;66959,19;65981,47;66388,17;57414,43;54944,35;792761,66
ESGOTO;15572,96;13860,12;15056,41;15387,09;15583,49;13073,86;16066,81;15093,24;15677,08;15392,65;13872,4;14456,09;179092,2
FEIRA LIVRE;6935,09;6523,24;7741,13;7636,01;7495,84;7818,5;7793,58;8722,15;8352,26;8162,52;8503,86;8544,97;94229,15
GG SAUDE;2688,45;2623,99;2831,45;2841,89;2930,28;2716,37;2854,94;2866,24;2898,28;2947,63;2663,37;2761,14;33624,03
PG SAUDE;503,77;519,57;550,89;558,28;570,23;500,98;561,83;568,53;583,34;623,77;541,01;548,77;6630,97
PODA;4661,59;4074,36;4561,43;4376,19;4693,59;3774,75;3696,05;3427,4;3304,81;3082,19;2526,53;2978,23;45157,12
REJEITO-CMT CAROLINA MARIA DE JESUS;0;0;0;0;0;0;0;0;103,89;237,06;240,52;453,27;1034,74
RESIDUOS DE BOCA DE LOBO;743,55;715,03;856,61;781,59;923,67;720,39;840,57;897,57;851,22;819,73;632,19;735,11;9517,23
RESIDUOS DE CORREGOS;8315,25;10701,45;14557,37;13271,45;13412,73;12538,35;13215,85;15403,88;15303,96;13925,11;11672,55;15174,04;157491,99
RESIDUOS DE PISCINAO;13907,33;17560,16;16358,58;16096,09;17198,33;15387,66;25809,1;16524,91;19140,82;17669,15;13008,97;10206,53;198867,63
SELETIVA;6076,78;5068,406;5130,4;4911,69;5230,24;4900,2;5155,63;5246,33;5503,16;5908,2;5715,93;6985,86;65832,826
VARRICAO;10802,29;10111,23;9858,09;8867,05;10247,55;8612,74;9732,06;9814,6;10245,13;10384,66;8549,34;9834,15;117058,89
TOTAL;514024,01;470061,546;500234,13;486075,82;497144,93;451357,46;490529,05;485016,99;505757,06;502459,54;463687,75;521832,91;5771126,266
