TIPO DE RESÍDUO;jan/15;fev/15;mar/15;abr/15;mai/15;jun/15;jul/15;ago/15;set/15;out/15;nov/15;dez/15;TOTAL 2015
ALIM VENCIDOS;0;0;0;0;0;0;0;0;0;0;0;0;0
ANIMAIS;12,08;4,57;10,19;9,59;8,84;8,36;8,29;6,44;10,68;11,52;9,08;11,86;111,50
DIVERSOS;29830,71;27443,26;30535,95;27981,54;28241,24;25016,21;26193,81;27968,13;27313,92;33205,37;30235,07;35004,43;348969,64
DIVERSOS-EMAE;;;;;;;;;;;;;7,27
DOMICILIAR;335743,47;299185,20;334651,22;307276,25;302429,84;307319,75;306207,65;304826,10;310902,76;319053,78;317818,79;355989,64;3801404,45
ENTULHO APREENDIDO;8,19;35,22;10,82;24,23;0;0;0;0;0;0;0;0;78,46
ENTULHO MANUAL;4066,48;3508,05;3870,82;4105,75;3813,26;3905,43;4154,26;4231,96;4434,21;4628,38;4067,89;4016,85;48803,34
ENTULHO MECANIZADO;52555,11;48898,21;60165,84;55874,10;57734,08;57744,41;60284,09;55845,66;52206,06;57109,15;50049,17;50191,73;658657,61
ESGOTO;14866,12;12954,64;13942,35;14289,63;14342,79;12520,40;12485,92;14380,06;14078,23;14800,15;14179,71;10913,15;163753,15
FEIRA LIVRE;8478,44;6577,81;8705,74;5606,72;7774,40;7621,02;7628,68;7817,13;7586,82;8266,61;8554,26;8132,03;92749,66
GG SAUDE;2711,90;2530,42;2980,63;2890,41;2952,73;2867,80;2910,45;2841,68;2782,20;2819,37;2694,17;2641,38;33623,14
PG SAUDE;522,95;510,37;635,16;593,68;626,45;587,95;609,98;607,81;605,45;615,73;570,72;592,15;7078,40
PODA;4342,52;4306,16;5621,75;4141,55;4047,90;3449,47;3609,68;3090,86;3653,08;4150,66;4138,26;4426,08;48977,97
REJEITO-CMT CAROLINA MARIA DE JESUS;1060,11;1405,10;1163,04;1246,09;1077,63;1112,68;1219,62;1038,67;1095,51;1077,46;1050,21;1376,19;13922,31
RESIDUOS DE BOCA DE LOBO;760,71;668,93;756,45;789,92;793,77;773,93;852,81;936,82;1222,93;988,64;744,93;766,45;10056,29
RESIDUOS DE CORREGOS;11469,12;9787,84;14248,17;11965,75;12724,28;12496,86;12669,05;11565,10;10493,90;9485,02;11225,80;11865,70;139996,59
RESIDUOS DE PISCINAO;14974,53;12619,32;17322,20;17421,91;13391,02;15315,64;13594,37;15463,03;15208,37;15326,37;14961,28;18632,52;184230,56
SELETIVA;7023,55;6243,66;6981,30;6937,46;7013,60;7201,80;7521,28;7074,65;7108,21;7443,89;7274,23;8890,59;86714,22
VARRICAO;9498,87;9389,81;9830,64;11025,09;9289,43;9723,65;9470,24;9788,38;8871,90;8560,50;7267,11;8852,81;111568,43
VARRICAO MECANIZADA;8,58;0;0;0;0;0;5,20;0;6,45;0;0;0;20,23
TOTAL;497933,44;446068,57;511432,27;472188,08;466261,26;467665,36;469425,38;467482,48;467580,68;487542,60;474840,68;522303,56;5750731,63
