TIPO DE RESÍDUO;jan/16;fev/16;mar/16;abr/16;mai/16;jun/16;jul/16;ago/16;set/16;out/16;nov/16;dez/16;TOTAL 2016
ANIMAIS;7,27;8,97;9,90;9,31;6,66;7,21;7,54;7,09;6,32;4,90;6,08;4,31;85,56
DIVERSOS;32631,94;30273,91;29043,38;26960,04;22351,28;23596,75;23546,52;23258,76;20503,86;20631,51;19143,34;20162,39;292092,57
DIVERSOS-EMAE;0,00;6,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,70
DOMICILIAR;308816,42;311090,90;326372,63;298579,67;294471,51;285445,03;282656,97;297553,51;284915,81;293484,54;264292,40;335830,39;3583509,78
ENTULHO APREENDIDO;7,64;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,53;0,00;0,00;0,00;9,17
ENTULHO MANUAL;4032,91;4968,60;5034,99;4934,96;4872,74;5691,01;5438,03;6026,92;5424,48;5389,37;5250,57;5914,58;62979,16
ENTULHO MECANIZADO;47739,85;35860,05;35255,92;31122,19;31755,66;33791,98;31054,29;32093,45;28032,30;28298,77;22606,80;23533,02;381144,27
EQUIPE DE EVENTOS ESPECIAIS E OPERACOES DE EMERGENCIA;0,00;0,00;0,00;0,00;6,88;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,88
ESGOTO;10264,20;10974,74;12907,86;13560,04;12797,39;12351,82;3440,13;18473,17;18872,38;14448,44;14340,79;14927,85;157358,81
FEIRA LIVRE;7569,08;7532,30;7595,83;7330,93;7017,50;7060,56;7065,34;6370,73;7321,69;7089,60;6771,15;7652,92;86377,63
GG SAUDE;2560,78;2603,03;2964,65;2885,40;2864,36;2880,14;2883,07;2931,93;2738,37;2777,96;2760,19;2692,17;33542,05
LIMPEZA URBANA;7,42;0,00;0,00;0,00;0,00;0,00;0,00;4,42;0,00;0,00;3,85;0,00;15,69
PG SAUDE;530,12;563,72;644,48;638,63;617,27;651,59;628,69;664,65;615,00;684,62;607,50;624,80;7471,07
PODA;3974,01;4212,56;4706,43;3721,31;3624,87;3809,45;3182,33;3273,00;3025,41;2786,57;2779,70;3175,40;42271,04
REJEITO-CMT CAROLINA MARIA DE JESUS;1472,04;1213,49;1227,05;1061,29;1002,91;1008,56;1001,31;968,84;882,63;857,72;483,02;1242,14;12421,00
RESIDUOS DE BOCA DE LOBO;971,59;894,82;812,16;820,43;949,61;946,04;1008,91;1076,17;1360,43;1554,69;959,14;1115,43;12469,42
RESIDUOS DE CORREGOS;9616,72;11030,09;13090,57;13485,60;13479,94;12786,43;12361,29;10615,66;10350,65;11821,24;8369,70;11401,43;138409,32
RESIDUOS DE ECOPONTO;3239,86;18047,84;22652,04;23808,65;23580,50;26554,38;27516,11;29815,35;28656,53;27561,35;27338,83;28189,54;286960,98
RESIDUOS DE PISCINAO;14626,67;16698,96;16578,94;18482,00;15696,84;20160,00;15772,39;13467,56;13481,03;5440,95;7697,96;17333,62;175436,92
SELETIVA;7843,91;7111,68;7420,98;6974,57;6887,30;6972,55;6682,07;7091,98;6704,79;6817,51;5616,41;8466,70;84590,45
VARRICAO;7972,37;8409,82;8630,23;8376,15;7523,48;7392,58;7887,02;8016,20;7665,35;8243,78;7469,26;8161,75;95747,99
VARRICAO MECANIZADA;0,00;0,00;0,00;6,22;0,00;0,00;11,06;0,00;0,00;0,00;0,00;0,00;17,28
(vazio);0,00;0,00;0,00;0,00;3,00;2,05;0,00;0,00;2,96;0,00;0,00;0,00;8,01
TOTAL;463884,80;471502,18;494948,04;462757,39;449509,70;451108,13;432143,07;461709,39;440561,52;437893,52;396496,69;490428,44;5452942,86
