TIPO DE RESÍDUO;jan/17;fev/17;mar/17;abr/17;mai/17;jun/17;jul/17;ago/17;set/17;out/17;nov/17;dez/17;TOTAL 2017;
ALIM VENCIDOS;1,37;0;0;0;0;0;0;0;0;0;0;0;1,37;
ANIMAIS;2,87;1,91;2,48;1,76;5,09;3,81;1,86;4,92;3,48;1,67;2,92;3,65;36,42;
DIVERSOS;18855,02;17572,45;20837,57;18557,36;20666,48;19949,46;20227,89;19300,43;17655,30;18461,39;18534,13;19652,42;230269,90;
DOMICILIAR;318691,59;286865,31;315652,06;283021,19;319647,63;300183,54;292945,52;308302,20;302219,17;314020,21;308167,30;299875,67;3649591,39;
ENTULHO APREENDIDO;0;0;0;0;0;25,37;8,74;7,86;6,92;21,90;26,17;0;96,96;
ENTULHO MANUAL;4817,97;5013,37;5445,18;3307,39;4036,36;4500,42;5196,89;5466,63;4770,52;4724,93;4648,98;4519,85;56448,49;
ENTULHO MECANIZADO;24349,49;27260,35;31922,53;28697,93;40178,34;41953,02;46628,00;44615,45;39618,37;41570,47;37899,02;38918,03;443611,00;
ESGOTO;14771,06;12586,39;15395,58;16460,74;18959,14;17911,05;17286,00;18033,45;18253,10;20871,05;20930,89;20464,20;211922,65;
FEIRA LIVRE;6852,35;6351,45;7165,82;6767,72;6751,04;6661,99;6669,54;6734,78;7052,55;6492,70;6196,66;6533,26;80229,86;
GG SAUDE;2691,43;2586,19;2958,74;2730,20;3002,94;2897,23;2902,53;2949,89;2796,73;2864,79;2754,90;2667,43;33803,00;
PG SAUDE;555,03;586,88;667,16;584,31;745,62;665,34;675,39;736,53;699,35;724,81;700,86;666,74;8008,02;
PODA;3597,54;2931,32;4053,63;2790,83;3269,66;2847,99;2782,76;2664,92;2237,27;2587,43;2594,13;1413,98;33771,46;
REJEITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
REJEITO-CMT CMJ;1191,64;940,14;981,54;924,86;1192,27;1123,23;1030,47;1124,89;1023,95;1053,33;1053,07;1140,86;12780,25;
RESIDUOS DE BOCA DE LOBO;818,70;772,50;1100,28;766,75;937,63;1165,89;1426,10;1590,21;1464,76;926,12;721,66;740,64;12431,24;
RESIDUOS DE CORREGOS;9253,45;9018,01;12620,16;8876,00;9818,10;7661,18;7357,60;8893,87;9267,15;10631,92;7156,34;7940,84;108494,62;
RESIDUOS DE ECOPONTO;26459,22;27100,99;32445,62;26949,45;30856,59;30236,43;31914,64;33045,76;31778,24;31485,64;31633,68;32264,28;366170,54;
RESIDUOS DE PISCINAO;13010,15;8253,15;10046,88;5971,21;14597,97;14030,05;12467,51;14106,98;19738,00;22017,53;26005,17;28670,46;188915,06;
SELETIVA;8097,71;6968,74;7537,98;6575,36;7416,57;6929,77;6825,52;7383,82;7109,00;7303,19;7440,26;8332,62;87920,54;
VARRICAO;7732,00;7506,87;7787,35;6965,81;7929,92;7496,26;7158,59;8387,21;7325,92;6968,82;10199,14;10333,31;95791,20;
VARRICAO MECANIZADA;0;0;0;0;8,82;0;10,56;10,19;20,69;144,82;53,20;22,09;270,37;
TOTAL;461748,59;422316,02;476620,56;419948,87;490020,17;466242,03;463516,11;483359,99;473040,47;492872,72;486718,48;484160,33;5620564,34;
;;;;;;;;;;;;;;
