TIPO DE RESIDUO,TONELADAS,MES,ANO
DOMICILIAR,329811.17,jan,2013
ENTULHO MECANIZADO,87669.43,jan,2013
DIVERSOS,27656.96,jan,2013
RESIDUOS DE PISCINAO,17920.76,jan,2013
ESGOTO,14130.25,jan,2013
RESIDUOS DE CORREGOS,12697.76,jan,2013
VARRICAO,10590.98,jan,2013
ENTULHO MANUAL,5987.05,jan,2013
SELETIVA,5941.29,jan,2013
FEIRA LIVRE,5650.17,jan,2013
PODA,4727.77,jan,2013
GG SAUDE,2553.42,jan,2013
RESIDUOS DE BOCA DE LOBO,881.58,jan,2013
PG SAUDE,463.81,jan,2013
DIVERSOS-EMAE,328.48,jan,2013
ALIM VENCIDOS,11.92,jan,2013
ENTULHO APREENDIDO,10.87,jan,2013
ANIMAIS,6.15,jan,2013
VARRICAO MECANIZADA,4.54,jan,2013
DOMICILIAR,306900.44,fev,2013
ENTULHO MECANIZADO,73157.94,fev,2013
DIVERSOS,28013.76,fev,2013
RESIDUOS DE PISCINAO,15869.3,fev,2013
ESGOTO,13338.4,fev,2013
RESIDUOS DE CORREGOS,14798.9,fev,2013
VARRICAO,11234.33,fev,2013
ENTULHO MANUAL,5339.82,fev,2013
SELETIVA,5171.07,fev,2013
FEIRA LIVRE,4834.8,fev,2013
PODA,4636.71,fev,2013
GG SAUDE,2387.88,fev,2013
RESIDUOS DE BOCA DE LOBO,727.65,fev,2013
PG SAUDE,460.15,fev,2013
DIVERSOS-EMAE,0.0,fev,2013
ALIM VENCIDOS,0.0,fev,2013
ENTULHO APREENDIDO,15.92,fev,2013
ANIMAIS,6.78,fev,2013
VARRICAO MECANIZADA,6.66,fev,2013
DOMICILIAR,319322.64,mar,2013
ENTULHO MECANIZADO,77888.83,mar,2013
DIVERSOS,28353.69,mar,2013
RESIDUOS DE PISCINAO,18458.67,mar,2013
ESGOTO,10632.08,mar,2013
RESIDUOS DE CORREGOS,18422.85,mar,2013
VARRICAO,10345.45,mar,2013
ENTULHO MANUAL,5919.06,mar,2013
SELETIVA,5322.55,mar,2013
FEIRA LIVRE,7137.72,mar,2013
PODA,5068.49,mar,2013
GG SAUDE,2697.83,mar,2013
RESIDUOS DE BOCA DE LOBO,691.99,mar,2013
PG SAUDE,524.0,mar,2013
DIVERSOS-EMAE,0.0,mar,2013
ALIM VENCIDOS,2.73,mar,2013
ENTULHO APREENDIDO,31.89,mar,2013
ANIMAIS,6.05,mar,2013
VARRICAO MECANIZADA,7.05,mar,2013
DOMICILIAR,323370.88,abr,2013
ENTULHO MECANIZADO,84883.83,abr,2013
DIVERSOS,28778.87,abr,2013
RESIDUOS DE PISCINAO,20398.73,abr,2013
ESGOTO,6214.34,abr,2013
RESIDUOS DE CORREGOS,20407.91,abr,2013
VARRICAO,9622.1,abr,2013
ENTULHO MANUAL,6390.62,abr,2013
SELETIVA,5587.56,abr,2013
FEIRA LIVRE,6605.88,abr,2013
PODA,4980.51,abr,2013
GG SAUDE,2846.67,abr,2013
RESIDUOS DE BOCA DE LOBO,683.35,abr,2013
PG SAUDE,566.82,abr,2013
DIVERSOS-EMAE,0.0,abr,2013
ALIM VENCIDOS,0.0,abr,2013
ENTULHO APREENDIDO,8.64,abr,2013
ANIMAIS,6.59,abr,2013
VARRICAO MECANIZADA,0.0,abr,2013
DOMICILIAR,311543.84,mai,2013
ENTULHO MECANIZADO,93405.81,mai,2013
DIVERSOS,29615.12,mai,2013
RESIDUOS DE PISCINAO,18913.38,mai,2013
ESGOTO,17810.28,mai,2013
RESIDUOS DE CORREGOS,16106.17,mai,2013
VARRICAO,10180.58,mai,2013
ENTULHO MANUAL,5478.91,mai,2013
SELETIVA,5574.01,mai,2013
FEIRA LIVRE,6882.44,mai,2013
PODA,4265.78,mai,2013
GG SAUDE,2858.13,mai,2013
RESIDUOS DE BOCA DE LOBO,609.24,mai,2013
PG SAUDE,550.64,mai,2013
DIVERSOS-EMAE,0.0,mai,2013
ALIM VENCIDOS,0.03,mai,2013
ENTULHO APREENDIDO,9.34,mai,2013
ANIMAIS,8.28,mai,2013
VARRICAO MECANIZADA,0.0,mai,2013
DOMICILIAR,297548.85,jun,2013
ENTULHO MECANIZADO,95076.82,jun,2013
DIVERSOS,27063.56,jun,2013
RESIDUOS DE PISCINAO,16442.84,jun,2013
ESGOTO,12003.38,jun,2013
RESIDUOS DE CORREGOS,14488.19,jun,2013
VARRICAO,9054.02,jun,2013
ENTULHO MANUAL,4884.59,jun,2013
SELETIVA,5307.84,jun,2013
FEIRA LIVRE,7170.05,jun,2013
PODA,3820.68,jun,2013
GG SAUDE,2698.04,jun,2013
RESIDUOS DE BOCA DE LOBO,604.42,jun,2013
PG SAUDE,522.22,jun,2013
DIVERSOS-EMAE,0.0,jun,2013
ALIM VENCIDOS,0.22,jun,2013
ENTULHO APREENDIDO,0.0,jun,2013
ANIMAIS,8.06,jun,2013
VARRICAO MECANIZADA,0.0,jun,2013
DOMICILIAR,317327.32,jul,2013
ENTULHO MECANIZADO,102690.35,jul,2013
DIVERSOS,27802.94,jul,2013
RESIDUOS DE PISCINAO,14608.08,jul,2013
ESGOTO,17746.37,jul,2013
RESIDUOS DE CORREGOS,13049.72,jul,2013
VARRICAO,9568.64,jul,2013
ENTULHO MANUAL,5738.65,jul,2013
SELETIVA,5651.06,jul,2013
FEIRA LIVRE,6860.75,jul,2013
PODA,3696.01,jul,2013
GG SAUDE,2849.71,jul,2013
RESIDUOS DE BOCA DE LOBO,602.07,jul,2013
PG SAUDE,512.53,jul,2013
DIVERSOS-EMAE,0.0,jul,2013
ALIM VENCIDOS,0.0,jul,2013
ENTULHO APREENDIDO,37.71,jul,2013
ANIMAIS,9.16,jul,2013
VARRICAO MECANIZADA,0.0,jul,2013
DOMICILIAR,315676.64,ago,2013
ENTULHO MECANIZADO,98948.03,ago,2013
DIVERSOS,25733.42,ago,2013
RESIDUOS DE PISCINAO,17018.06,ago,2013
ESGOTO,18051.28,ago,2013
RESIDUOS DE CORREGOS,16735.18,ago,2013
VARRICAO,10544.89,ago,2013
ENTULHO MANUAL,5608.89,ago,2013
SELETIVA,5641.33,ago,2013
FEIRA LIVRE,7579.34,ago,2013
PODA,3841.18,ago,2013
GG SAUDE,2872.9,ago,2013
RESIDUOS DE BOCA DE LOBO,659.0,ago,2013
PG SAUDE,566.38,ago,2013
DIVERSOS-EMAE,0.0,ago,2013
ALIM VENCIDOS,0.0,ago,2013
ENTULHO APREENDIDO,23.29,ago,2013
ANIMAIS,5.16,ago,2013
VARRICAO MECANIZADA,0.0,ago,2013
DOMICILIAR,305483.65,set,2013
ENTULHO MECANIZADO,92558.41,set,2013
DIVERSOS,24146.55,set,2013
RESIDUOS DE PISCINAO,15257.92,set,2013
ESGOTO,16353.83,set,2013
RESIDUOS DE CORREGOS,13314.99,set,2013
VARRICAO,9932.61,set,2013
ENTULHO MANUAL,5220.04,set,2013
SELETIVA,5208.53,set,2013
FEIRA LIVRE,7616.4,set,2013
PODA,3620.58,set,2013
GG SAUDE,2753.97,set,2013
RESIDUOS DE BOCA DE LOBO,532.58,set,2013
PG SAUDE,535.58,set,2013
DIVERSOS-EMAE,0.0,set,2013
ALIM VENCIDOS,0.0,set,2013
ENTULHO APREENDIDO,9.38,set,2013
ANIMAIS,7.79,set,2013
VARRICAO MECANIZADA,0.0,set,2013
DOMICILIAR,331783.32,out,2013
ENTULHO MECANIZADO,97351.44,out,2013
DIVERSOS,27751.44,out,2013
RESIDUOS DE PISCINAO,20863.04,out,2013
ESGOTO,16735.91,out,2013
RESIDUOS DE CORREGOS,14563.05,out,2013
VARRICAO,10849.86,out,2013
ENTULHO MANUAL,5523.19,out,2013
SELETIVA,5706.66,out,2013
FEIRA LIVRE,7430.67,out,2013
PODA,4103.25,out,2013
GG SAUDE,2885.95,out,2013
RESIDUOS DE BOCA DE LOBO,653.49,out,2013
PG SAUDE,600.19,out,2013
DIVERSOS-EMAE,0.0,out,2013
ALIM VENCIDOS,0.0,out,2013
ENTULHO APREENDIDO,8.05,out,2013
ANIMAIS,13.14,out,2013
VARRICAO MECANIZADA,0.08,out,2013
DOMICILIAR,322859.19,nov,2013
ENTULHO MECANIZADO,85582.34,nov,2013
DIVERSOS,26319.56,nov,2013
RESIDUOS DE PISCINAO,18359.31,nov,2013
ESGOTO,14073.26,nov,2013
RESIDUOS DE CORREGOS,9372.17,nov,2013
VARRICAO,9652.42,nov,2013
ENTULHO MANUAL,4604.88,nov,2013
SELETIVA,5350.1,nov,2013
FEIRA LIVRE,7769.14,nov,2013
PODA,3726.8,nov,2013
GG SAUDE,2719.52,nov,2013
RESIDUOS DE BOCA DE LOBO,545.84,nov,2013
PG SAUDE,522.25,nov,2013
DIVERSOS-EMAE,0.0,nov,2013
ALIM VENCIDOS,0.0,nov,2013
ENTULHO APREENDIDO,7.23,nov,2013
ANIMAIS,9.99,nov,2013
VARRICAO MECANIZADA,0.0,nov,2013
DOMICILIAR,349827.25,dez,2013
ENTULHO MECANIZADO,73351.86,dez,2013
DIVERSOS,28519.79,dez,2013
RESIDUOS DE PISCINAO,24928.02,dez,2013
ESGOTO,13542.23,dez,2013
RESIDUOS DE CORREGOS,7691.02,dez,2013
VARRICAO,9864.59,dez,2013
ENTULHO MANUAL,3712.97,dez,2013
SELETIVA,5977.39,dez,2013
FEIRA LIVRE,7842.02,dez,2013
PODA,4165.15,dez,2013
GG SAUDE,2611.19,dez,2013
RESIDUOS DE BOCA DE LOBO,763.9,dez,2013
PG SAUDE,491.55,dez,2013
DIVERSOS-EMAE,0.0,dez,2013
ALIM VENCIDOS,0.0,dez,2013
ENTULHO APREENDIDO,0.0,dez,2013
ANIMAIS,7.45,dez,2013
VARRICAO MECANIZADA,0.0,dez,2013
ALIM VENCIDOS,0.0,jan,2014
ANIMAIS,9.83,jan,2014
DIVERSOS,30114.6,jan,2014
DOMICILIAR,333611.67,jan,2014
ENTULHO APREENDIDO,,jan,2014
ENTULHO MANUAL,4027.01,jan,2014
ENTULHO MECANIZADO,76053.84,jan,2014
ESGOTO,15572.96,jan,2014
FEIRA LIVRE,6935.09,jan,2014
GG SAUDE,2688.45,jan,2014
PG SAUDE,503.77,jan,2014
PODA,4661.59,jan,2014
REJEITO-CMT CAROLINA MARIA DE JESUS,0.0,jan,2014
RESIDUOS DE BOCA DE LOBO,743.55,jan,2014
RESIDUOS DE CORREGOS,8315.25,jan,2014
RESIDUOS DE PISCINAO,13907.33,jan,2014
SELETIVA,6076.78,jan,2014
VARRICAO,10802.29,jan,2014
ALIM VENCIDOS,7.44,fev,2014
ANIMAIS,7.07,fev,2014
DIVERSOS,26562.65,fev,2014
DOMICILIAR,297097.79,fev,2014
ENTULHO APREENDIDO,,fev,2014
ENTULHO MANUAL,3600.53,fev,2014
ENTULHO MECANIZADO,71028.51,fev,2014
ESGOTO,13860.12,fev,2014
FEIRA LIVRE,6523.24,fev,2014
GG SAUDE,2623.99,fev,2014
PG SAUDE,519.57,fev,2014
PODA,4074.36,fev,2014
REJEITO-CMT CAROLINA MARIA DE JESUS,0.0,fev,2014
RESIDUOS DE BOCA DE LOBO,715.03,fev,2014
RESIDUOS DE CORREGOS,10701.45,fev,2014
RESIDUOS DE PISCINAO,17560.16,fev,2014
SELETIVA,5068.406,fev,2014
VARRICAO,10111.23,fev,2014
ALIM VENCIDOS,0.0,mar,2014
ANIMAIS,11.43,mar,2014
DIVERSOS,30160.02,mar,2014
DOMICILIAR,317402.41,mar,2014
ENTULHO APREENDIDO,,mar,2014
ENTULHO MANUAL,4314.61,mar,2014
ENTULHO MECANIZADO,70843.3,mar,2014
ESGOTO,15056.41,mar,2014
FEIRA LIVRE,7741.13,mar,2014
GG SAUDE,2831.45,mar,2014
PG SAUDE,550.89,mar,2014
PODA,4561.43,mar,2014
REJEITO-CMT CAROLINA MARIA DE JESUS,0.0,mar,2014
